home,away,won,home_attack,home_deffense,away_attack,away_deffense,home_id,away_id
1,1,draw,0.8908619736842105,1.353819894736842,1.3476432368421052,0.9601127894736842,52,46
1,3,away,1.0274163157894738,1.233633447368421,1.590960947368421,0.8525350789473685,45,50
1,0,home,1.4262978684210526,1.0722211578947367,1.1308949736842104,1.2112308947368422,33,39
0,0,draw,1.058699342105263,1.4024461052631578,1.5539092631578948,0.9581219736842105,34,40
0,0,draw,1.0763644210526315,1.2173616842105264,1.1979285263157895,1.1421443157894737,41,48
1,1,draw,1.112908,1.3578454736842105,1.1328612105263158,1.1503959736842104,47,36
0,5,away,0.8425862105263158,1.6121498157894736,1.315919947368421,1.4581814210526316,60,63
3,3,draw,1.3265687631578946,0.9644233157894737,1.1308949736842104,1.2112308947368422,51,39
1,1,draw,0.9325241052631579,1.3685032105263157,1.1328612105263158,1.1503959736842104,44,36
1,3,away,1.5138173157894736,0.831302947368421,1.590960947368421,0.8525350789473685,49,50
2,0,home,0.8908619736842105,1.353819894736842,0.8389786578947368,1.3351425789473683,52,62
0,1,away,1.0274163157894738,1.233633447368421,1.1979285263157895,1.1421443157894737,45,48
2,1,home,1.4262978684210526,1.0722211578947367,1.3456919736842106,1.3521605789473683,33,66
1,2,away,1.058699342105263,1.4024461052631578,1.3476432368421052,0.9601127894736842,34,46
1,0,home,1.0763644210526315,1.2173616842105264,1.5539092631578948,0.9581219736842105,41,40
3,0,home,1.112908,1.3578454736842105,1.315919947368421,1.4581814210526316,47,63
0,4,away,0.8425862105263158,1.6121498157894736,1.185106657894737,1.014207052631579,60,42
0,0,draw,1.185106657894737,1.014207052631579,0.8908619736842105,1.353819894736842,42,52
0,2,away,1.3456919736842106,1.3521605789473683,1.112908,1.3578454736842105,66,47
1,2,away,1.1328612105263158,1.1503959736842104,1.4262978684210526,1.0722211578947367,36,33
3,0,home,1.315919947368421,1.4581814210526316,1.0763644210526315,1.2173616842105264,63,41
2,0,home,1.3476432368421052,0.9601127894736842,1.5138173157894736,0.831302947368421,46,49
1,0,home,0.8389786578947368,1.3351425789473683,1.058699342105263,1.4024461052631578,62,34
2,1,home,1.1979285263157895,1.1421443157894737,0.8425862105263158,1.6121498157894736,48,60
1,2,away,1.1308949736842104,1.2112308947368422,1.0274163157894738,1.233633447368421,39,45
0,1,away,1.5539092631578948,0.9581219736842105,0.9325241052631579,1.3685032105263157,40,44
1,0,home,1.590960947368421,0.8525350789473685,1.3265687631578946,0.9644233157894737,50,51
3,0,home,1.185106657894737,1.014207052631579,1.058699342105263,1.4024461052631578,42,34
0,0,draw,1.3456919736842106,1.3521605789473683,1.0274163157894738,1.233633447368421,66,45
0,1,away,1.1328612105263158,1.1503959736842104,1.5138173157894736,0.831302947368421,36,49
0,1,away,1.315919947368421,1.4581814210526316,1.3265687631578946,0.9644233157894737,63,51
2,0,home,1.3476432368421052,0.9601127894736842,1.0763644210526315,1.2173616842105264,46,41
0,0,draw,1.5539092631578948,0.9581219736842105,1.4262978684210526,1.0722211578947367,40,33
4,0,home,1.590960947368421,0.8525350789473685,0.8908619736842105,1.353819894736842,50,52
1,3,away,0.8389786578947368,1.3351425789473683,1.112908,1.3578454736842105,62,47
1,0,home,1.1979285263157895,1.1421443157894737,0.9325241052631579,1.3685032105263157,48,44
2,3,away,1.1308949736842104,1.2112308947368422,0.8425862105263158,1.6121498157894736,39,60
0,0,draw,1.3265687631578946,0.9644233157894737,1.1328612105263158,1.1503959736842104,51,36
3,2,home,0.9325241052631579,1.3685032105263157,1.3456919736842106,1.3521605789473683,44,66
1,1,draw,1.0274163157894738,1.233633447368421,1.3476432368421052,0.9601127894736842,45,46
1,2,away,1.4262978684210526,1.0722211578947367,0.8389786578947368,1.3351425789473683,33,62
0,5,away,0.8425862105263158,1.6121498157894736,1.590960947368421,0.8525350789473685,60,50
0,0,draw,1.5138173157894736,0.831302947368421,1.1308949736842104,1.2112308947368422,49,39
1,2,away,1.058699342105263,1.4024461052631578,1.315919947368421,1.4581814210526316,34,63
1,3,away,1.0763644210526315,1.2173616842105264,1.185106657894737,1.014207052631579,41,42
1,3,away,1.112908,1.3578454736842105,1.5539092631578948,0.9581219736842105,47,40
2,3,away,0.8908619736842105,1.353819894736842,1.1979285263157895,1.1421443157894737,52,48
0,0,draw,1.185106657894737,1.014207052631579,1.4262978684210526,1.0722211578947367,42,33
1,0,home,1.3265687631578946,0.9644233157894737,1.112908,1.3578454736842105,51,47
2,0,home,1.5138173157894736,0.831302947368421,0.9325241052631579,1.3685032105263157,49,44
1,0,home,0.8908619736842105,1.353819894736842,1.1308949736842104,1.2112308947368422,52,39
0,2,away,1.0274163157894738,1.233633447368421,1.058699342105263,1.4024461052631578,45,34
1,3,away,1.3476432368421052,0.9601127894736842,1.315919947368421,1.4581814210526316,46,63
1,0,home,1.590960947368421,0.8525350789473685,0.8389786578947368,1.3351425789473683,50,62
0,1,away,1.0763644210526315,1.2173616842105264,1.3456919736842106,1.3521605789473683,41,66
2,2,draw,0.8425862105263158,1.6121498157894736,1.1328612105263158,1.1503959736842104,60,36
1,3,away,1.1979285263157895,1.1421443157894737,1.5539092631578948,0.9581219736842105,48,40
1,3,away,1.3456919736842106,1.3521605789473683,1.1979285263157895,1.1421443157894737,66,48
0,2,away,0.9325241052631579,1.3685032105263157,1.590960947368421,0.8525350789473685,44,50
0,2,away,1.1328612105263158,1.1503959736842104,1.3476432368421052,0.9601127894736842,36,46
1,2,away,1.315919947368421,1.4581814210526316,1.0274163157894738,1.233633447368421,63,45
2,1,home,0.8389786578947368,1.3351425789473683,0.8425862105263158,1.6121498157894736,62,60
2,1,home,1.1308949736842104,1.2112308947368422,1.185106657894737,1.014207052631579,39,42
9,0,home,1.4262978684210526,1.0722211578947367,1.0763644210526315,1.2173616842105264,33,41
1,2,away,1.058699342105263,1.4024461052631578,0.8908619736842105,1.353819894736842,34,52
0,1,away,1.112908,1.3578454736842105,1.5138173157894736,0.831302947368421,47,49
0,1,away,1.5539092631578948,0.9581219736842105,1.3265687631578946,0.9644233157894737,40,51
1,0,home,1.3456919736842106,1.3521605789473683,1.185106657894737,1.014207052631579,66,42
1,1,draw,0.9325241052631579,1.3685032105263157,1.3265687631578946,0.9644233157894737,44,51
0,0,draw,1.1328612105263158,1.1503959736842104,1.1979285263157895,1.1421443157894737,36,48
2,0,home,1.315919947368421,1.4581814210526316,0.8908619736842105,1.353819894736842,63,52
1,4,away,1.5539092631578948,0.9581219736842105,1.590960947368421,0.8525350789473685,40,50
3,3,draw,1.4262978684210526,1.0722211578947367,1.0274163157894738,1.233633447368421,33,45
3,2,home,1.058699342105263,1.4024461052631578,1.0763644210526315,1.2173616842105264,34,41
1,2,away,0.8389786578947368,1.3351425789473683,1.5138173157894736,0.831302947368421,62,49
2,0,home,1.112908,1.3578454736842105,0.8425862105263158,1.6121498157894736,47,60
0,0,draw,1.1308949736842104,1.2112308947368422,1.3476432368421052,0.9601127894736842,39,46
4,2,home,1.185106657894737,1.014207052631579,1.315919947368421,1.4581814210526316,42,63
0,0,draw,1.3265687631578946,0.9644233157894737,1.3456919736842106,1.3521605789473683,51,66
2,0,home,1.5138173157894736,0.831302947368421,1.058699342105263,1.4024461052631578,49,34
0,3,away,0.8908619736842105,1.353819894736842,0.9325241052631579,1.3685032105263157,52,44
0,2,away,1.0274163157894738,1.233633447368421,1.1328612105263158,1.1503959736842104,45,36
3,1,home,1.3476432368421052,0.9601127894736842,1.5539092631578948,0.9581219736842105,46,40
3,0,home,1.590960947368421,0.8525350789473685,1.112908,1.3578454736842105,50,47
1,2,away,1.0763644210526315,1.2173616842105264,1.1308949736842104,1.2112308947368422,41,39
1,1,draw,0.8425862105263158,1.6121498157894736,1.4262978684210526,1.0722211578947367,60,33
3,0,home,1.1979285263157895,1.1421443157894737,0.8389786578947368,1.3351425789473683,48,62
0,1,away,1.185106657894737,1.014207052631579,1.590960947368421,0.8525350789473685,42,50
1,2,away,1.3456919736842106,1.3521605789473683,1.3476432368421052,0.9601127894736842,66,46
1,2,away,1.3265687631578946,0.9644233157894737,0.8908619736842105,1.353819894736842,51,52
0,0,draw,0.9325241052631579,1.3685032105263157,0.8425862105263158,1.6121498157894736,44,60
1,0,home,1.1328612105263158,1.1503959736842104,0.8389786578947368,1.3351425789473683,36,62
0,2,away,1.5539092631578948,0.9581219736842105,1.0274163157894738,1.233633447368421,40,45
3,1,home,1.4262978684210526,1.0722211578947367,1.058699342105263,1.4024461052631578,33,34
